move_key,name_en,name_es,pokemon_id,pokemon_name_en,pokemon_name_es,form_name_en,form_name_es,is_in_move_pool,is_observed_in_sets
absorb,Absorb,Absorber,10242,Goodra,Goodra,Hisuian Goodra,Hisuian Goodra,1,0
accelerock,Accelerock,Roca Veloz,745,Lycanroc,Lycanroc,,,1,1
acid_armor,Acid Armor,Armadura Ácida,134,Vaporeon,Vaporeon,,,1,0
acid_armor,Acid Armor,Armadura Ácida,579,Reuniclus,Reuniclus,,,1,0
acid_armor,Acid Armor,Armadura Ácida,584,Vanilluxe,Vanilluxe,,,1,0
acid_armor,Acid Armor,Armadura Ácida,609,Chandelure,Chandelure,,,1,0
acid_armor,Acid Armor,Armadura Ácida,706,Goodra,Goodra,,,1,0
acid_armor,Acid Armor,Armadura Ácida,869,Alcremie,Alcremie,,,1,0
acid_armor,Acid Armor,Armadura Ácida,970,Glimmora,Glimmora,,,1,0
acid_armor,Acid Armor,Armadura Ácida,10242,Goodra,Goodra,Hisuian Goodra,Hisuian Goodra,1,0
acid_spray,Acid Spray,Bomba Ácida,3,Venusaur,Venusaur,,,1,0
acid_spray,Acid Spray,Bomba Ácida,24,Arbok,Arbok,,,1,0
acid_spray,Acid Spray,Bomba Ácida,71,Victreebel,Victreebel,,,1,0
acid_spray,Acid Spray,Bomba Ácida,94,Gengar,Gengar,,,1,0
acid_spray,Acid Spray,Bomba Ácida,168,Ariados,Ariados,,,1,0
acid_spray,Acid Spray,Bomba Ácida,454,Toxicroak,Toxicroak,,,1,0
acid_spray,Acid Spray,Bomba Ácida,569,Garbodor,Garbodor,,,1,0
acid_spray,Acid Spray,Bomba Ácida,706,Goodra,Goodra,,,1,0
acid_spray,Acid Spray,Bomba Ácida,748,Toxapex,Toxapex,,,1,0
acid_spray,Acid Spray,Bomba Ácida,758,Salazzle,Salazzle,,,1,0
acid_spray,Acid Spray,Bomba Ácida,841,Flapple,Flapple,,,1,0
acid_spray,Acid Spray,Bomba Ácida,903,Sneasler,Sneasler,,,1,0
acid_spray,Acid Spray,Bomba Ácida,936,Armarouge,Armarouge,,,1,0
acid_spray,Acid Spray,Bomba Ácida,939,Bellibolt,Bellibolt,,,1,0
acid_spray,Acid Spray,Bomba Ácida,970,Glimmora,Glimmora,,,1,0
acid_spray,Acid Spray,Bomba Ácida,10165,Slowbro,Slowbro,Galarian Slowbro,Galarian Slowbro,1,0
acid_spray,Acid Spray,Bomba Ácida,10172,Slowking,Slowking,Galarian Slowking,Galarian Slowking,1,0
acid_spray,Acid Spray,Bomba Ácida,10242,Goodra,Goodra,Hisuian Goodra,Hisuian Goodra,1,1
acrobatics,Acrobatics,Acróbata,6,Charizard,Charizard,,,1,0
acrobatics,Acrobatics,Acróbata,15,Beedrill,Beedrill,,,1,0
acrobatics,Acrobatics,Acróbata,212,Scizor,Scizor,,,1,0
acrobatics,Acrobatics,Acróbata,279,Pelipper,Pelipper,,,1,0
acrobatics,Acrobatics,Acróbata,334,Altaria,Altaria,,,1,1
acrobatics,Acrobatics,Acróbata,392,Infernape,Infernape,,,1,0
acrobatics,Acrobatics,Acróbata,428,Lopunny,Lopunny,,,1,0
acrobatics,Acrobatics,Acróbata,472,Gliscor,Gliscor,,,1,1
acrobatics,Acrobatics,Acróbata,512,Simisage,Simisage,,,1,0
acrobatics,Acrobatics,Acróbata,514,Simisear,Simisear,,,1,0
acrobatics,Acrobatics,Acróbata,516,Simipour,Simipour,,,1,0
acrobatics,Acrobatics,Acróbata,587,Emolga,Emolga,,,1,0
acrobatics,Acrobatics,Acróbata,635,Hydreigon,Hydreigon,,,1,0
acrobatics,Acrobatics,Acróbata,637,Volcarona,Volcarona,,,1,0
acrobatics,Acrobatics,Acróbata,658,Greninja,Greninja,,,1,0
acrobatics,Acrobatics,Acróbata,663,Talonflame,Talonflame,,,1,0
acrobatics,Acrobatics,Acróbata,666,Vivillon,Vivillon,,,1,0
acrobatics,Acrobatics,Acróbata,701,Hawlucha,Hawlucha,,,1,1
acrobatics,Acrobatics,Acróbata,715,Noivern,Noivern,,,1,0
acrobatics,Acrobatics,Acróbata,724,Decidueye,Decidueye,,,1,0
acrobatics,Acrobatics,Acróbata,727,Incineroar,Incineroar,,,1,0
acrobatics,Acrobatics,Acróbata,730,Primarina,Primarina,,,1,0
acrobatics,Acrobatics,Acróbata,733,Toucannon,Toucannon,,,1,0
acrobatics,Acrobatics,Acróbata,758,Salazzle,Salazzle,,,1,0
acrobatics,Acrobatics,Acróbata,763,Tsareena,Tsareena,,,1,0
acrobatics,Acrobatics,Acróbata,766,Passimian,Passimian,,,1,0
acrobatics,Acrobatics,Acróbata,841,Flapple,Flapple,,,1,0
acrobatics,Acrobatics,Acróbata,887,Dragapult,Dragapult,,,1,0
acrobatics,Acrobatics,Acróbata,900,Kleavor,Kleavor,,,1,0
acrobatics,Acrobatics,Acróbata,903,Sneasler,Sneasler,,,1,0
acrobatics,Acrobatics,Acróbata,908,Meowscarada,Meowscarada,,,1,0
acrobatics,Acrobatics,Acróbata,914,Quaquaval,Quaquaval,,,1,0
acrobatics,Acrobatics,Acróbata,964,Palafin,Palafin,,,1,0
acupressure,Acupressure,Acupresión,308,Medicham,Medicham,,,1,0
aerial_ace,Aerial Ace,Golpe Aéreo,6,Charizard,Charizard,,,1,0
aerial_ace,Aerial Ace,Golpe Aéreo,15,Beedrill,Beedrill,,,1,0
aerial_ace,Aerial Ace,Golpe Aéreo,18,Pidgeot,Pidgeot,,,1,0
aerial_ace,Aerial Ace,Golpe Aéreo,59,Arcanine,Arcanine,,,1,0
aerial_ace,Aerial Ace,Golpe Aéreo,127,Pinsir,Pinsir,,,1,0
aerial_ace,Aerial Ace,Golpe Aéreo,142,Aerodactyl,Aerodactyl,,,1,0
aerial_ace,Aerial Ace,Golpe Aéreo,149,Dragonite,Dragonite,,,1,0
