move_key,name_en,name_es,confirmed_user_count,inferred_user_count,move_pool_user_count,observed_set_user_count,observed_set_coverage_pct,users
absorb,Absorb,Absorber,1,0,1,0,0.0,Goodra (Hisuian Goodra)
accelerock,Accelerock,Roca Veloz,1,0,1,1,100.0,Lycanroc
acid_armor,Acid Armor,Armadura Ácida,8,0,8,0,0.0,"Vaporeon,Reuniclus,Vanilluxe,Chandelure,Goodra,Alcremie,Glimmora,Goodra (Hisuian Goodra)"
acid_spray,Acid Spray,Bomba Ácida,18,0,18,1,5.6,"Venusaur,Arbok,Victreebel,Gengar,Ariados,Toxicroak,Garbodor,Goodra,Toxapex,Salazzle,Flapple,Sneasler,Armarouge,Bellibolt,Glimmora,Slowbro (Galarian Slowbro),Slowking (Galarian Slowking),Goodra (Hisuian Goodra)"
acrobatics,Acrobatics,Acróbata,33,0,33,3,9.1,"Charizard,Beedrill,Scizor,Pelipper,Altaria,Infernape,Lopunny,Gliscor,Simisage,Simisear,Simipour,Emolga,Hydreigon,Volcarona,Greninja,Talonflame,Vivillon,Hawlucha,Noivern,Decidueye,Incineroar,Primarina,Toucannon,Salazzle,Tsareena,Passimian,Flapple,Dragapult,Kleavor,Sneasler,Meowscarada,Quaquaval,Palafin"
acupressure,Acupressure,Acupresión,1,0,1,0,0.0,Medicham
aerial_ace,Aerial Ace,Golpe Aéreo,57,0,57,0,0.0,"Charizard,Beedrill,Pidgeot,Arcanine,Pinsir,Aerodactyl,Dragonite,Typhlosion,Feraligatr,Scizor,Heracross,Skarmory,Tyranitar,Pelipper,Sableye,Medicham,Altaria,Absol,Infernape,Empoleon,Garchomp,Lucario,Toxicroak,Weavile,Leafeon,Gliscor,Gallade,Serperior,Samurott,Excadrill,Krookodile,Zoroark,Beartic,Chesnaught,Greninja,Talonflame,Aegislash,Hawlucha,Noivern,Decidueye,Incineroar,Toucannon,Kommo-o,Corviknight,Flapple,Kleavor,Sneasler,Meowscarada,Quaquaval,Maushold,Espathra,Kingambit,Arcanine (Hisuian Arcanine),Typhlosion (Hisuian Typhlosion),Samurott (Hisuian Samurott),Zoroark (Hisuian Zoroark),Decidueye (Hisuian Decidueye)"
after_you,After You,Cede Paso,10,0,10,0,0.0,"Clefable,Ampharos,Lopunny,Audino,Aromatisse,Slurpuff,Oranguru,Hatterene,Mr. Rime,Maushold"
agility,Agility,Agilidad,58,0,58,1,1.7,"Beedrill,Pidgeot,Pikachu,Raichu,Ninetales,Arcanine,Starmie,Jolteon,Aerodactyl,Dragonite,Feraligatr,Ariados,Ampharos,Scizor,Skarmory,Pelipper,Medicham,Manectric,Sharpedo,Altaria,Infernape,Empoleon,Luxray,Lopunny,Lucario,Weavile,Gliscor,Gallade,Zoroark,Emolga,Delphox,Diggersby,Talonflame,Heliolisk,Hawlucha,Dedenne,Noivern,Lycanroc,Salazzle,Corviknight,Hatterene,Morpeko,Dragapult,Wyrdeer,Kleavor,Basculegion (Basculegion-M),Sneasler,Meowscarada,Quaquaval,Maushold,Espathra,Palafin,Farigiraf,Raichu (Alolan Raichu),Ninetales (Alolan Ninetales),Arcanine (Hisuian Arcanine),Zoroark (Hisuian Zoroark),Basculegion (Basculegion-F)"
air_cutter,Air Cutter,Aire Afilado,17,0,17,0,0.0,"Charizard,Beedrill,Dragonite,Scizor,Skarmory,Pelipper,Empoleon,Volcarona,Talonflame,Vivillon,Noivern,Decidueye,Toucannon,Corviknight,Kleavor,Quaquaval,Decidueye (Hisuian Decidueye)"
air_slash,Air Slash,Tajo Aéreo,28,0,28,5,17.9,"Charizard,Pidgeot,Clefable,Dragonite,Scizor,Skarmory,Pelipper,Absol,Empoleon,Gallade,Samurott,Emolga,Volcarona,Talonflame,Vivillon,Aegislash,Hawlucha,Noivern,Decidueye,Toucannon,Corviknight,Flapple,Kleavor,Quaquaval,Kingambit,Rotom (Fan Rotom),Samurott (Hisuian Samurott),Decidueye (Hisuian Decidueye)"
alluring_voice,Alluring Voice,Canto Encantador,25,0,25,0,0.0,"Pikachu,Raichu,Clefable,Vaporeon,Jolteon,Flareon,Azumarill,Espeon,Umbreon,Gardevoir,Altaria,Milotic,Leafeon,Glaceon,Gallade,Floette,Florges,Meowstic (Meowstic-M),Aromatisse,Sylveon,Primarina,Alcremie,Skeledirge,Raichu (Alolan Raichu),Meowstic (Meowstic-F)"
ally_switch,Ally Switch,Cambio de Banda,20,0,20,2,10.0,"Alakazam,Starmie,Chimecho,Spiritomb,Audino,Cofagrigus,Reuniclus,Vanilluxe,Aromatisse,Heliolisk,Trevenant,Gourgeist,Polteageist,Mr. Rime,Runerigus,Meowscarada,Armarouge,Ceruledge,Espathra,Farigiraf"
