pokemon_id,role_key,name_en,name_es,description_en,description_es,confidence,season_key,format,curation_source_key,notes
3,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
6,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,low,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
9,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
9,pivot,Pivot,Pivot,Creates positioning or tempo through switching and utility.,Genera posicin o tempo mediante cambios y utilidad.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from utility move or pivot ability access.
15,pivot,Pivot,Pivot,Creates positioning or tempo through switching and utility.,Genera posicin o tempo mediante cambios y utilidad.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
15,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
18,pivot,Pivot,Pivot,Creates positioning or tempo through switching and utility.,Genera posicin o tempo mediante cambios y utilidad.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
18,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
24,pivot,Pivot,Pivot,Creates positioning or tempo through switching and utility.,Genera posicin o tempo mediante cambios y utilidad.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from utility move or pivot ability access.
25,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
25,pivot,Pivot,Pivot,Creates positioning or tempo through switching and utility.,Genera posicin o tempo mediante cambios y utilidad.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
25,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
26,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,low,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
26,pivot,Pivot,Pivot,Creates positioning or tempo through switching and utility.,Genera posicin o tempo mediante cambios y utilidad.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
26,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
36,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
36,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
38,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
38,weather_setter,Weather Setter,Setter de Clima,Sets weather that defines the game plan.,Activa el clima que define el plan de partida.,high,season_m1_reg_ma,doubles,manual_curation,Directly derived from weather-setting ability.
59,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
59,pivot,Pivot,Pivot,Creates positioning or tempo through switching and utility.,Genera posicin o tempo mediante cambios y utilidad.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from utility move or pivot ability access.
65,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,low,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
65,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
65,trick_room_setter,Trick Room Setter,Setter de Espacio Raro,Can reliably set Trick Room.,Puede activar Espacio Raro de forma fiable.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
65,wallbreaker,Wallbreaker,Muroperforador,Breaks through bulky cores using strong offensive pressure.,Rompe ncleos defensivos con presin ofensiva alta.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from offensive stats and current roster context.
68,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
68,wallbreaker,Wallbreaker,Muroperforador,Breaks through bulky cores using strong offensive pressure.,Rompe ncleos defensivos con presin ofensiva alta.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from offensive stats and current roster context.
71,wallbreaker,Wallbreaker,Muroperforador,Breaks through bulky cores using strong offensive pressure.,Rompe ncleos defensivos con presin ofensiva alta.,low,season_m1_reg_ma,doubles,manual_curation,Fallback derived role for full table coverage.
80,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
80,pivot,Pivot,Pivot,Creates positioning or tempo through switching and utility.,Genera posicin o tempo mediante cambios y utilidad.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from utility move or pivot ability access.
80,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
80,trick_room_setter,Trick Room Setter,Setter de Espacio Raro,Can reliably set Trick Room.,Puede activar Espacio Raro de forma fiable.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
94,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
94,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
94,trick_room_setter,Trick Room Setter,Setter de Espacio Raro,Can reliably set Trick Room.,Puede activar Espacio Raro de forma fiable.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
94,wallbreaker,Wallbreaker,Muroperforador,Breaks through bulky cores using strong offensive pressure.,Rompe ncleos defensivos con presin ofensiva alta.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from offensive stats and current roster context.
115,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
115,pivot,Pivot,Pivot,Creates positioning or tempo through switching and utility.,Genera posicin o tempo mediante cambios y utilidad.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
115,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
121,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,low,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
