pokemon_id,species_key,form_key,name_en,form_name_en,tier_value,abilities
3,venusaur,,Venusaur,,S,"chlorophyll, overgrow"
6,charizard,,Charizard,,A,"blaze, solar_power"
38,ninetales,,Ninetales,,C,"drought, flash_fire"
59,arcanine,,Arcanine,,A,"flash_fire, intimidate, justified"
71,victreebel,,Victreebel,,B,"chlorophyll, gluttony"
136,flareon,,Flareon,,B,"flash_fire, guts"
157,typhlosion,,Typhlosion,,C,"blaze, flash_fire"
229,houndoom,,Houndoom,,B,"early_bird, flash_fire, unnerve"
323,camerupt,,Camerupt,,B,"anger_point, magma_armor, solid_rock"
324,torkoal,,Torkoal,,A,"drought, shell_armor, white_smoke"
392,infernape,,Infernape,,C,"blaze, iron_fist"
470,leafeon,,Leafeon,,B,"chlorophyll, leaf_guard"
500,emboar,,Emboar,,B,"blaze, reckless"
514,simisear,,Simisear,,C,"blaze, gluttony"
547,whimsicott,,Whimsicott,,A,"chlorophyll, infiltrator, prankster"
609,chandelure,,Chandelure,,B,"flame_body, flash_fire, infiltrator"
637,volcarona,,Volcarona,,B,"flame_body, swarm"
655,delphox,,Delphox,,A,"blaze, magician"
663,talonflame,,Talonflame,,B,"flame_body, gale_wings"
727,incineroar,,Incineroar,,S,"blaze, intimidate"
758,salazzle,,Salazzle,,D,"corrosion, oblivious"
911,skeledirge,,Skeledirge,,B,"blaze, unaware"
936,armarouge,,Armarouge,,A,"flash_fire, weak_armor"
937,ceruledge,,Ceruledge,,B,"flash_fire, weak_armor"
952,scovillain,,Scovillain,,A,"chlorophyll, insomnia, moody"
10008,rotom,heat-rotom,Rotom,Heat Rotom,B,levitate
10230,arcanine,hisuian-arcanine,Arcanine,Hisuian Arcanine,B,"flash_fire, intimidate, rock_head"
10233,typhlosion,hisuian-typhlosion,Typhlosion,Hisuian Typhlosion,B,"blaze, frisk"
10251,tauros,paldean-tauros-blaze,Tauros,Paldean Tauros (Blaze),B,"anger_point, cud_chew, intimidate"
