pokemon_id,species_key,form_key,name_en,name_es,form_name_en,form_name_es,type1_key,type2_key,tier_value,roles,roles_es,archetypes,archetypes_es
3,venusaur,,Venusaur,Venusaur,,,grass,poison,S,Bulky Support,Soporte Resistente,Sun,Sol
6,charizard,,Charizard,Charizard,,,fire,flying,A,Bulky Support,Soporte Resistente,Sun,Sol
9,blastoise,,Blastoise,Blastoise,,,water,,A,"Bulky Support, Pivot","Soporte Resistente, Pivot",Rain,Lluvia
15,beedrill,,Beedrill,Beedrill,,,bug,poison,C,"Pivot, Speed Control","Pivot, Control de Velocidad",Balance,Balance
18,pidgeot,,Pidgeot,Pidgeot,,,normal,flying,C,"Pivot, Speed Control","Pivot, Control de Velocidad",Tailwind,Viento Afn
24,arbok,,Arbok,Arbok,,,poison,,C,Pivot,Pivot,Balance,Balance
25,pikachu,,Pikachu,Pikachu,,,electric,,B,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Balance,Balance
26,raichu,,Raichu,Raichu,,,electric,,B,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Offense,Ofensiva
36,clefable,,Clefable,Clefable,,,fairy,,A,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Trick Room,Espacio Raro
38,ninetales,,Ninetales,Ninetales,,,fire,,C,"Bulky Support, Weather Setter","Soporte Resistente, Setter de Clima",Sun,Sol
59,arcanine,,Arcanine,Arcanine,,,fire,,A,"Bulky Support, Pivot","Soporte Resistente, Pivot",Offense,Ofensiva
65,alakazam,,Alakazam,Alakazam,,,psychic,,D,"Bulky Support, Speed Control, Trick Room Setter, Wallbreaker","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro, Muroperforador",Trick Room,Espacio Raro
68,machamp,,Machamp,Machamp,,,fighting,,C,"Bulky Support, Wallbreaker","Soporte Resistente, Muroperforador",Trick Room,Espacio Raro
71,victreebel,,Victreebel,Victreebel,,,grass,poison,B,Wallbreaker,Muroperforador,Sun,Sol
80,slowbro,,Slowbro,Slowbro,,,water,psychic,A,"Bulky Support, Pivot, Speed Control, Trick Room Setter","Soporte Resistente, Pivot, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
94,gengar,,Gengar,Gengar,,,ghost,poison,A,"Bulky Support, Speed Control, Trick Room Setter, Wallbreaker","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro, Muroperforador",Trick Room,Espacio Raro
115,kangaskhan,,Kangaskhan,Kangaskhan,,,normal,,B,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Balance,Balance
121,starmie,,Starmie,Starmie,,,water,psychic,B,"Bulky Support, Speed Control, Trick Room Setter","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
127,pinsir,,Pinsir,Pinsir,,,bug,,A,"Bulky Support, Wallbreaker","Soporte Resistente, Muroperforador",Balance,Balance
128,tauros,,Tauros,Tauros,,,normal,,C,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Offense,Ofensiva
130,gyarados,,Gyarados,Gyarados,,,water,flying,B,"Bulky Support, Pivot, Speed Control, Wallbreaker","Soporte Resistente, Pivot, Control de Velocidad, Muroperforador",Rain,Lluvia
132,ditto,,Ditto,Ditto,,,normal,,B,Bulky Support,Soporte Resistente,Trick Room,Espacio Raro
134,vaporeon,,Vaporeon,Vaporeon,,,water,,A,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Balance,Balance
135,jolteon,,Jolteon,Jolteon,,,electric,,C,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Offense,Ofensiva
136,flareon,,Flareon,Flareon,,,fire,,B,"Bulky Support, Wallbreaker","Soporte Resistente, Muroperforador",Balance,Balance
142,aerodactyl,,Aerodactyl,Aerodactyl,,,rock,flying,A,Speed Control,Control de Velocidad,Tailwind,Viento Afn
143,snorlax,,Snorlax,Snorlax,,,normal,,A,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Trick Room,Espacio Raro
149,dragonite,,Dragonite,Dragonite,,,dragon,flying,A,"Bulky Support, Speed Control, Wallbreaker","Soporte Resistente, Control de Velocidad, Muroperforador","Hyper Offense, Sand, Tailwind","Hiperofensiva, Arena, Viento Afn"
154,meganium,,Meganium,Meganium,,,grass,,A,Bulky Support,Soporte Resistente,Balance,Balance
157,typhlosion,,Typhlosion,Typhlosion,,,fire,,C,Bulky Support,Soporte Resistente,Offense,Ofensiva
160,feraligatr,,Feraligatr,Feraligatr,,,water,,B,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Balance,Balance
168,ariados,,Ariados,Ariados,,,bug,poison,D,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Trick Room,Espacio Raro
181,ampharos,,Ampharos,Ampharos,,,electric,,B,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Trick Room,Espacio Raro
184,azumarill,,Azumarill,Azumarill,,,water,fairy,A,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Trick Room,Espacio Raro
186,politoed,,Politoed,Politoed,,,water,,A,"Bulky Support, Speed Control, Weather Setter","Soporte Resistente, Control de Velocidad, Setter de Clima",Rain,Lluvia
