matchup_id,season_key,format,threat_pokemon_id,answer_pokemon_id,answer_type,confidence,notes
1,season_m1_reg_ma,doubles,3,983,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
2,season_m1_reg_ma,doubles,3,1018,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
3,season_m1_reg_ma,doubles,3,212,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
4,season_m1_reg_ma,doubles,6,142,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
5,season_m1_reg_ma,doubles,6,248,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
6,season_m1_reg_ma,doubles,6,970,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
7,season_m1_reg_ma,doubles,9,3,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
8,season_m1_reg_ma,doubles,9,1013,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
9,season_m1_reg_ma,doubles,9,1018,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
10,season_m1_reg_ma,doubles,36,3,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
11,season_m1_reg_ma,doubles,36,6,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
12,season_m1_reg_ma,doubles,36,59,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
13,season_m1_reg_ma,doubles,59,445,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
14,season_m1_reg_ma,doubles,59,727,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
15,season_m1_reg_ma,doubles,59,10009,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
16,season_m1_reg_ma,doubles,80,635,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
17,season_m1_reg_ma,doubles,80,658,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
18,season_m1_reg_ma,doubles,80,908,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
19,season_m1_reg_ma,doubles,94,983,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
20,season_m1_reg_ma,doubles,94,660,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
21,season_m1_reg_ma,doubles,94,10239,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
22,season_m1_reg_ma,doubles,127,670,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
23,season_m1_reg_ma,doubles,127,903,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
24,season_m1_reg_ma,doubles,127,1018,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
25,season_m1_reg_ma,doubles,134,3,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
26,season_m1_reg_ma,doubles,134,1013,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
27,season_m1_reg_ma,doubles,134,1018,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
28,season_m1_reg_ma,doubles,142,983,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
29,season_m1_reg_ma,doubles,142,1018,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
30,season_m1_reg_ma,doubles,142,530,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
31,season_m1_reg_ma,doubles,143,94,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
32,season_m1_reg_ma,doubles,143,302,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
33,season_m1_reg_ma,doubles,143,563,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
34,season_m1_reg_ma,doubles,149,959,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
35,season_m1_reg_ma,doubles,149,36,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
36,season_m1_reg_ma,doubles,149,184,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
37,season_m1_reg_ma,doubles,154,3,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
38,season_m1_reg_ma,doubles,154,727,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
39,season_m1_reg_ma,doubles,154,903,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
40,season_m1_reg_ma,doubles,184,3,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
41,season_m1_reg_ma,doubles,184,71,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
42,season_m1_reg_ma,doubles,184,395,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
43,season_m1_reg_ma,doubles,186,3,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
44,season_m1_reg_ma,doubles,186,1013,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
45,season_m1_reg_ma,doubles,186,1018,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
46,season_m1_reg_ma,doubles,212,6,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
47,season_m1_reg_ma,doubles,212,59,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
48,season_m1_reg_ma,doubles,212,227,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
49,season_m1_reg_ma,doubles,214,623,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
50,season_m1_reg_ma,doubles,214,681,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
51,season_m1_reg_ma,doubles,214,887,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
52,season_m1_reg_ma,doubles,227,983,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
53,season_m1_reg_ma,doubles,227,1018,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
54,season_m1_reg_ma,doubles,227,10009,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
55,season_m1_reg_ma,doubles,248,903,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
56,season_m1_reg_ma,doubles,248,983,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
