move_key,name_en,name_es,type_key,category_key,power,accuracy,pp,priority,targeting_key,makes_contact,is_sound,is_pulse,is_punch,is_bite,is_slashing,is_status,effect_short_en,effect_short_es,effect_long_en,effect_long_es,source_key
absorb,Absorb,Absorber,grass,special,20,100,25,,unknown,0,0,0,0,0,0,0,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.,Absorbe la mitad del daño producido en el objetivo para restaurar los PS del usuario.,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.,Absorbe la mitad del daño producido en el objetivo para restaurar los PS del usuario.,championslab
accelerock,Accelerock,Roca Veloz,rock,physical,40,100,20,,unknown,0,0,0,0,0,0,0,The user smashes into the target at high speed. This move always goes first.,El usuario se lanza contra el objetivo a gran velocidad. Siempre ataca primero.,The user smashes into the target at high speed. This move always goes first.,El usuario se lanza contra el objetivo a gran velocidad. Siempre ataca primero.,championslab
acid_armor,Acid Armor,Armadura Ácida,poison,status,,,20,,unknown,0,0,0,0,0,0,1,"The user alters its cellular structure to liquefy itself, sharply boosting its Defense stat.",Transforma la estructura celular para hacerse líquido y aumenta mucho la Defensa.,"The user alters its cellular structure to liquefy itself, sharply boosting its Defense stat.",Transforma la estructura celular para hacerse líquido y aumenta mucho la Defensa.,championslab
acid_spray,Acid Spray,Bomba Ácida,poison,special,40,100,20,,unknown,0,0,0,0,0,0,0,The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target's Sp. Def stat.,"Ataca con un líquido corrosivo, reduciendo mucho la Defensa Especial del objetivo.",The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target's Sp. Def stat.,"Ataca con un líquido corrosivo, reduciendo mucho la Defensa Especial del objetivo.",championslab
acrobatics,Acrobatics,Acróbata,flying,physical,55,100,15,,unknown,0,0,0,0,0,0,0,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,"Golpea ágilmente. Si el usuario no porta ningún objeto, el objetivo resulta seriamente dañado.",The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,"Golpea ágilmente. Si el usuario no porta ningún objeto, el objetivo resulta seriamente dañado.",championslab
acupressure,Acupressure,Acupresión,normal,status,,,30,,unknown,0,0,0,0,0,0,1,"The user applies pressure to stress points, sharply boosting one of its or its allies' stats.",Aplica presión en puntos clave de su cuerpo o de los aliados para potenciar un parámetro de sus características.,"The user applies pressure to stress points, sharply boosting one of its or its allies' stats.",Aplica presión en puntos clave de su cuerpo o de los aliados para potenciar un parámetro de sus características.,championslab
aerial_ace,Aerial Ace,Golpe Aéreo,flying,physical,60,,20,,unknown,0,0,0,0,0,0,0,"The user confounds the target with speed, then slashes. This attack never misses.",El usuario lanza un ataque muy rápido e ineludible.,"The user confounds the target with speed, then slashes. This attack never misses.",El usuario lanza un ataque muy rápido e ineludible.,championslab
after_you,After You,Cede Paso,normal,status,,,20,,unknown,0,0,0,0,0,0,1,Makes the target move immediately after the user.,"Si el usuario es el más rápido, permite al objetivo usar un movimiento justo tras él, adelantándose a Pokémon más rápidos.",Makes the target move immediately after the user.,"Si el usuario es el más rápido, permite al objetivo usar un movimiento justo tras él, adelantándose a Pokémon más rápidos.",championslab
agility,Agility,Agilidad,psychic,status,,,30,,unknown,0,0,0,0,0,0,1,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Relaja el cuerpo para ganar mucha Velocidad.,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,Relaja el cuerpo para ganar mucha Velocidad.,championslab
air_cutter,Air Cutter,Aire Afilado,flying,special,60,95,25,,unknown,0,0,0,0,0,0,0,Hacks with razorlike wind. High critical-hit ratio.,Viento cortante que azota. Suele ser un golpe crítico.,Hacks with razorlike wind. High critical-hit ratio.,Viento cortante que azota. Suele ser un golpe crítico.,championslab
