move_key,name_en,confirmed_user_count,inferred_user_count,move_pool_user_count,observed_set_user_count,users
absorb,Absorb,1,0,1,0,Goodra (Hisuian Goodra)
accelerock,Accelerock,1,0,1,1,Lycanroc
acid_armor,Acid Armor,8,0,8,0,"Vaporeon,Reuniclus,Vanilluxe,Chandelure,Goodra,Alcremie,Glimmora,Goodra (Hisuian Goodra)"
acid_spray,Acid Spray,18,0,18,1,"Venusaur,Arbok,Victreebel,Gengar,Ariados,Toxicroak,Garbodor,Goodra,Toxapex,Salazzle,Flapple,Sneasler,Armarouge,Bellibolt,Glimmora,Slowbro (Galarian Slowbro),Slowking (Galarian Slowking),Goodra (Hisuian Goodra)"
acrobatics,Acrobatics,33,0,33,3,"Charizard,Beedrill,Scizor,Pelipper,Altaria,Infernape,Lopunny,Gliscor,Simisage,Simisear,Simipour,Emolga,Hydreigon,Volcarona,Greninja,Talonflame,Vivillon,Hawlucha,Noivern,Decidueye,Incineroar,Primarina,Toucannon,Salazzle,Tsareena,Passimian,Flapple,Dragapult,Kleavor,Sneasler,Meowscarada,Quaquaval,Palafin"
acupressure,Acupressure,1,0,1,0,Medicham
aerial_ace,Aerial Ace,57,0,57,0,"Charizard,Beedrill,Pidgeot,Arcanine,Pinsir,Aerodactyl,Dragonite,Typhlosion,Feraligatr,Scizor,Heracross,Skarmory,Tyranitar,Pelipper,Sableye,Medicham,Altaria,Absol,Infernape,Empoleon,Garchomp,Lucario,Toxicroak,Weavile,Leafeon,Gliscor,Gallade,Serperior,Samurott,Excadrill,Krookodile,Zoroark,Beartic,Chesnaught,Greninja,Talonflame,Aegislash,Hawlucha,Noivern,Decidueye,Incineroar,Toucannon,Kommo-o,Corviknight,Flapple,Kleavor,Sneasler,Meowscarada,Quaquaval,Maushold,Espathra,Kingambit,Arcanine (Hisuian Arcanine),Typhlosion (Hisuian Typhlosion),Samurott (Hisuian Samurott),Zoroark (Hisuian Zoroark),Decidueye (Hisuian Decidueye)"
after_you,After You,10,0,10,0,"Clefable,Ampharos,Lopunny,Audino,Aromatisse,Slurpuff,Oranguru,Hatterene,Mr. Rime,Maushold"
agility,Agility,58,0,58,1,"Beedrill,Pidgeot,Pikachu,Raichu,Ninetales,Arcanine,Starmie,Jolteon,Aerodactyl,Dragonite,Feraligatr,Ariados,Ampharos,Scizor,Skarmory,Pelipper,Medicham,Manectric,Sharpedo,Altaria,Infernape,Empoleon,Luxray,Lopunny,Lucario,Weavile,Gliscor,Gallade,Zoroark,Emolga,Delphox,Diggersby,Talonflame,Heliolisk,Hawlucha,Dedenne,Noivern,Lycanroc,Salazzle,Corviknight,Hatterene,Morpeko,Dragapult,Wyrdeer,Kleavor,Basculegion (Basculegion-M),Sneasler,Meowscarada,Quaquaval,Maushold,Espathra,Palafin,Farigiraf,Raichu (Alolan Raichu),Ninetales (Alolan Ninetales),Arcanine (Hisuian Arcanine),Zoroark (Hisuian Zoroark),Basculegion (Basculegion-F)"
air_cutter,Air Cutter,17,0,17,0,"Charizard,Beedrill,Dragonite,Scizor,Skarmory,Pelipper,Empoleon,Volcarona,Talonflame,Vivillon,Noivern,Decidueye,Toucannon,Corviknight,Kleavor,Quaquaval,Decidueye (Hisuian Decidueye)"
air_slash,Air Slash,28,0,28,5,"Charizard,Pidgeot,Clefable,Dragonite,Scizor,Skarmory,Pelipper,Absol,Empoleon,Gallade,Samurott,Emolga,Volcarona,Talonflame,Vivillon,Aegislash,Hawlucha,Noivern,Decidueye,Toucannon,Corviknight,Flapple,Kleavor,Quaquaval,Kingambit,Rotom (Fan Rotom),Samurott (Hisuian Samurott),Decidueye (Hisuian Decidueye)"
alluring_voice,Alluring Voice,25,0,25,0,"Pikachu,Raichu,Clefable,Vaporeon,Jolteon,Flareon,Azumarill,Espeon,Umbreon,Gardevoir,Altaria,Milotic,Leafeon,Glaceon,Gallade,Floette,Florges,Meowstic (Meowstic-M),Aromatisse,Sylveon,Primarina,Alcremie,Skeledirge,Raichu (Alolan Raichu),Meowstic (Meowstic-F)"
ally_switch,Ally Switch,20,0,20,2,"Alakazam,Starmie,Chimecho,Spiritomb,Audino,Cofagrigus,Reuniclus,Vanilluxe,Aromatisse,Heliolisk,Trevenant,Gourgeist,Polteageist,Mr. Rime,Runerigus,Meowscarada,Armarouge,Ceruledge,Espathra,Farigiraf"
amnesia,Amnesia,26,0,26,1,"Venusaur,Clefable,Slowbro,Snorlax,Azumarill,Politoed,Slowking,Camerupt,Torkoal,Castform,Torterra,Hippowdon,Mamoswine,Simisear,Audino,Garbodor,Volcarona,Slurpuff,Primarina,Crabominable,Drampa,Appletun,Runerigus,Farigiraf,Slowbro (Galarian Slowbro),Slowking (Galarian Slowking)"
ancient_power,Ancient Power,20,0,20,3,"Charizard,Starmie,Aerodactyl,Meganium,Feraligatr,Steelix,Tyranitar,Aggron,Sharpedo,Camerupt,Torkoal,Rampardos,Bastiodon,Mamoswine,Garbodor,Tyrantrum,Aurorus,Kleavor,Glimmora,Goodra (Hisuian Goodra)"
apple_acid,Apple Acid,1,0,1,1,Appletun
aqua_cutter,Aqua Cutter,4,0,4,0,"Gallade,Samurott,Quaquaval,Samurott (Hisuian Samurott)"
aqua_jet,Aqua Jet,17,0,17,5,"Blastoise,Starmie,Dragonite,Feraligatr,Azumarill,Sharpedo,Empoleon,Samurott,Beartic,Clawitzer,Primarina,Basculegion (Basculegion-M),Quaquaval,Palafin,Samurott (Hisuian Samurott),Tauros (Paldean Tauros (Aqua)),Basculegion (Basculegion-F)"
aqua_ring,Aqua Ring,9,0,9,0,"Blastoise,Vaporeon,Azumarill,Pelipper,Milotic,Empoleon,Simipour,Primarina,Araquanid"
aqua_step,Aqua Step,1,0,1,1,Quaquaval
aqua_tail,Aqua Tail,12,0,12,0,"Blastoise,Gyarados,Dragonite,Feraligatr,Azumarill,Milotic,Samurott,Krookodile,Clawitzer,Goodra,Palafin,Samurott (Hisuian Samurott)"
armor_cannon,Armor Cannon,1,0,1,1,Armarouge
aromatherapy,Aromatherapy,1,0,1,0,Tsareena
aromatic_mist,Aromatic Mist,5,0,5,0,"Aromatisse,Tsareena,Polteageist,Hatterene,Alcremie"
assurance,Assurance,41,0,41,0,"Beedrill,Machamp,Kangaskhan,Tauros,Aerodactyl,Ariados,Umbreon,Scizor,Heracross,Skarmory,Tyranitar,Sharpedo,Absol,Rampardos,Lopunny,Toxicroak,Weavile,Gliscor,Emboar,Samurott,Liepard,Krookodile,Zoroark,Beartic,Hydreigon,Tyrantrum,Hawlucha,Goodra,Incineroar,Lycanroc,Passimian,Corviknight,Morpeko,Dragapult,Farigiraf,Kingambit,Samurott (Hisuian Samurott),Zoroark (Hisuian Zoroark),Tauros (Paldean Tauros),Tauros (Paldean Tauros (Blaze)),Tauros (Paldean Tauros (Aqua))"
attract,Attract,62,0,62,0,"Beedrill,Pidgeot,Ninetales,Alakazam,Machamp,Kangaskhan,Pinsir,Aerodactyl,Snorlax,Politoed,Steelix,Aggron,Manectric,Sharpedo,Milotic,Castform,Absol,Torterra,Infernape,Empoleon,Roserade,Rampardos,Bastiodon,Lopunny,Gliscor,Mamoswine,Serperior,Liepard,Simisage,Simisear,Simipour,Audino,Conkeldurr,Whimsicott,Cofagrigus,Garbodor,Reuniclus,Vanilluxe,Emolga,Stunfisk,Diggersby,Pangoro,Furfrou,Aegislash,Aromatisse,Slurpuff,Heliolisk,Tyrantrum,Aurorus,Gourgeist,Incineroar,Primarina,Toucannon,Araquanid,Tsareena,Drampa,Kommo-o,Mr. Rime,Runerigus,Alcremie,Ninetales (Alolan Ninetales),Stunfisk (Galarian Stunfisk)"
aura_sphere,Aura Sphere,14,0,14,3,"Blastoise,Gardevoir,Medicham,Infernape,Lopunny,Lucario,Gallade,Clawitzer,Kommo-o,Meowscarada,Armarouge,Palafin,Archaludon,Decidueye (Hisuian Decidueye)"
aura_wheel,Aura Wheel,1,0,1,1,Morpeko
aurora_veil,Aurora Veil,6,0,6,5,"Abomasnow,Froslass,Vanilluxe,Aurorus,Avalugg,Ninetales (Alolan Ninetales)"
avalanche,Avalanche,34,0,34,1,"Blastoise,Slowbro,Kangaskhan,Starmie,Gyarados,Feraligatr,Slowking,Tyranitar,Aggron,Sharpedo,Milotic,Castform,Glalie,Empoleon,Rampardos,Bastiodon,Abomasnow,Weavile,Rhyperior,Glaceon,Mamoswine,Froslass,Samurott,Vanilluxe,Beartic,Aurorus,Avalugg,Crabominable,Mr. Rime,Ninetales (Alolan Ninetales),Slowbro (Galarian Slowbro),Slowking (Galarian Slowking),Samurott (Hisuian Samurott),Avalugg (Hisuian Avalugg)"
axe_kick,Axe Kick,1,0,1,0,Medicham
baby_doll_eyes,Baby-Doll Eyes,20,0,20,0,"Ninetales,Vaporeon,Jolteon,Flareon,Espeon,Umbreon,Luxray,Lopunny,Leafeon,Glaceon,Audino,Furfrou,Sylveon,Primarina,Mimikyu,Alcremie,Maushold,Espathra,Tinkaton,Ninetales (Alolan Ninetales)"
baneful_bunker,Baneful Bunker,1,0,1,1,Toxapex
baton_pass,Baton Pass,42,0,42,1,"Beedrill,Clefable,Ninetales,Vaporeon,Jolteon,Flareon,Ariados,Espeon,Umbreon,Scizor,Medicham,Chimecho,Absol,Lopunny,Toxicroak,Weavile,Leafeon,Glaceon,Gliscor,Liepard,Emolga,Floette,Florges,Meowstic (Meowstic-M),Sylveon,Hawlucha,Decidueye,Incineroar,Passimian,Polteageist,Hatterene,Mr. Rime,Morpeko,Dragapult,Kleavor,Quaquaval,Maushold,Espathra,Farigiraf,Ninetales (Alolan Ninetales),Decidueye (Hisuian Decidueye),Meowstic (Meowstic-F)"
beak_blast,Beak Blast,1,0,1,1,Toucannon
beat_up,Beat Up,16,0,16,1,"Charizard,Arbok,Kangaskhan,Houndoom,Weavile,Whimsicott,Krookodile,Vanilluxe,Hydreigon,Pangoro,Salazzle,Passimian,Mimikyu,Dragapult,Maushold,Farigiraf"
belch,Belch,15,0,15,0,"Arbok,Slowbro,Snorlax,Slowking,Toxicroak,Simisage,Simisear,Simipour,Garbodor,Hydreigon,Salazzle,Sandaconda,Skeledirge,Slowbro (Galarian Slowbro),Slowking (Galarian Slowking)"
belly_drum,Belly Drum,10,0,10,2,"Charizard,Slowbro,Snorlax,Azumarill,Politoed,Slowking,Chesnaught,Kommo-o,Slowbro (Galarian Slowbro),Slowking (Galarian Slowking)"
bind,Bind,3,0,3,0,"Pinsir,Steelix,Stunfisk (Galarian Stunfisk)"
bite,Bite,57,0,57,1,"Charizard,Blastoise,Arbok,Arcanine,Kangaskhan,Gyarados,Vaporeon,Jolteon,Flareon,Aerodactyl,Snorlax,Feraligatr,Espeon,Umbreon,Houndoom,Tyranitar,Manectric,Sharpedo,Absol,Glalie,Torterra,Luxray,Garchomp,Lucario,Hippowdon,Weavile,Leafeon,Glaceon,Mamoswine,Froslass,Watchog,Liepard,Simisage,Simisear,Simipour,Krookodile,Hydreigon,Chesnaught,Furfrou,Tyrantrum,Sylveon,Avalugg,Noivern,Incineroar,Lycanroc,Toxapex,Araquanid,Morpeko,Dragapult,Wyrdeer,Basculegion (Basculegion-M),Meowscarada,Skeledirge,Maushold,Scovillain,Arcanine (Hisuian Arcanine),Basculegion (Basculegion-F)"
bitter_blade,Bitter Blade,1,0,1,1,Ceruledge
bitter_malice,Bitter Malice,1,0,1,0,Zoroark (Hisuian Zoroark)
blast_burn,Blast Burn,8,0,8,0,"Charizard,Typhlosion,Infernape,Emboar,Delphox,Incineroar,Skeledirge,Typhlosion (Hisuian Typhlosion)"
blaze_kick,Blaze Kick,6,0,6,0,"Medicham,Infernape,Lucario,Simisear,Talonflame,Incineroar"
