pokemon_id,species_key,form_key,name_en,form_name_en,tier_value,abilities
3,venusaur,,Venusaur,,B,"chlorophyll, overgrow"
6,charizard,,Charizard,,A,"blaze, solar_power"
38,ninetales,,Ninetales,,D,"drought, flash_fire"
59,arcanine,,Arcanine,,B,"flash_fire, intimidate, justified"
71,victreebel,,Victreebel,,D,"chlorophyll, gluttony"
136,flareon,,Flareon,,D,"flash_fire, guts"
157,typhlosion,,Typhlosion,,D,"blaze, flash_fire"
229,houndoom,,Houndoom,,D,"early_bird, flash_fire, unnerve"
323,camerupt,,Camerupt,,C,"anger_point, magma_armor, solid_rock"
324,torkoal,,Torkoal,,B,"drought, shell_armor, white_smoke"
392,infernape,,Infernape,,D,"blaze, iron_fist"
470,leafeon,,Leafeon,,D,"chlorophyll, leaf_guard"
500,emboar,,Emboar,,D,"blaze, reckless"
514,simisear,,Simisear,,D,"blaze, gluttony"
547,whimsicott,,Whimsicott,,A,"chlorophyll, infiltrator, prankster"
609,chandelure,,Chandelure,,C,"flame_body, flash_fire, infiltrator"
637,volcarona,,Volcarona,,C,"flame_body, swarm"
655,delphox,,Delphox,,B,"blaze, magician"
663,talonflame,,Talonflame,,B,"flame_body, gale_wings"
727,incineroar,,Incineroar,,S,"blaze, intimidate"
758,salazzle,,Salazzle,,D,"corrosion, oblivious"
911,skeledirge,,Skeledirge,,D,"blaze, unaware"
936,armarouge,,Armarouge,,D,"flash_fire, weak_armor"
937,ceruledge,,Ceruledge,,D,"flash_fire, weak_armor"
952,scovillain,,Scovillain,,C,"chlorophyll, insomnia, moody"
10008,rotom,heat-rotom,Rotom,Heat Rotom,C,levitate
10230,arcanine,hisuian-arcanine,Arcanine,Hisuian Arcanine,C,"flash_fire, intimidate, rock_head"
10233,typhlosion,hisuian-typhlosion,Typhlosion,Hisuian Typhlosion,C,"blaze, frisk"
10251,tauros,paldean-tauros-blaze,Tauros,Paldean Tauros (Blaze),D,"anger_point, cud_chew, intimidate"
