move_key,name_en,name_es,type_key,category_key,power,accuracy,pp,priority,targeting_key,makes_contact,is_sound,is_pulse,is_punch,is_bite,is_slashing,is_status,effect_short_en,effect_short_es,effect_long_en,effect_long_es,source_key
absorb,Absorb,Absorb,grass,special,20,100,25,,unknown,0,0,0,0,0,0,0,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.,,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.,,championslab
accelerock,Accelerock,Accelerock,rock,physical,40,100,20,,unknown,0,0,0,0,0,0,0,The user smashes into the target at high speed. This move always goes first.,,The user smashes into the target at high speed. This move always goes first.,,championslab
acid_armor,Acid Armor,Acid Armor,poison,status,,,20,,unknown,0,0,0,0,0,0,1,"The user alters its cellular structure to liquefy itself, sharply boosting its Defense stat.",,"The user alters its cellular structure to liquefy itself, sharply boosting its Defense stat.",,championslab
acid_spray,Acid Spray,Acid Spray,poison,special,40,100,20,,unknown,0,0,0,0,0,0,0,The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target's Sp. Def stat.,,The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target's Sp. Def stat.,,championslab
acrobatics,Acrobatics,Acrobatics,flying,physical,55,100,15,,unknown,0,0,0,0,0,0,0,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,,championslab
acupressure,Acupressure,Acupressure,normal,status,,,30,,unknown,0,0,0,0,0,0,1,"The user applies pressure to stress points, sharply boosting one of its or its allies' stats.",,"The user applies pressure to stress points, sharply boosting one of its or its allies' stats.",,championslab
aerial_ace,Aerial Ace,Aerial Ace,flying,physical,60,,20,,unknown,0,0,0,0,0,0,0,"The user confounds the target with speed, then slashes. This attack never misses.",,"The user confounds the target with speed, then slashes. This attack never misses.",,championslab
after_you,After You,After You,normal,status,,,20,,unknown,0,0,0,0,0,0,1,Makes the target move immediately after the user.,,Makes the target move immediately after the user.,,championslab
agility,Agility,Agility,psychic,status,,,30,,unknown,0,0,0,0,0,0,1,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,,championslab
air_cutter,Air Cutter,Air Cutter,flying,special,60,95,25,,unknown,0,0,0,0,0,0,0,Hacks with razorlike wind. High critical-hit ratio.,,Hacks with razorlike wind. High critical-hit ratio.,,championslab
